#src	how	bytes	path
hemco	exact	5462440	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_BC_2005-2100_43190.nc
hemco	exact	5433032	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_CO_2005-2100_43190.nc
hemco	exact	5416951	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_OC_2005-2100_23474.nc
hemco	exact	5389230	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_BC_2005-2100_27424.nc
hemco	exact	5379335	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_BC_2005-2100_23474.nc
hemco	exact	5157371	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.BC.SWD.0.1x0.1.nc
hemco	exact	5068846	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.NOx.SWD.0.1x0.1.nc
hemco	exact	4881949	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.OC.SWD.0.1x0.1.nc
hemco	exact	4878869	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.CO.SWD.0.1x0.1.nc
hemco	exact	4877105	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.SO2.SWD.0.1x0.1.nc
extdata	exact	4278836	/input/HEMCO/TIMEZONES/v2024-02/timezones_vohra_2017_0.1x0.1.nc
hemco	exact	4238105	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_emln_othpt_0pt1degree_month_07.ncf
extdata	exact	4236855	/input/HEMCO/SOILNOX/v2014-07/DepReservoirDefault.nc
hemco	exact	4190187	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_othafdust_adj_0pt1degree_month_07.ncf
hemco	exact	4051841	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_CH4_2005-2100_23474.nc
hemco	exact	4033844	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_np_oilgas_0pt1degree_month_07.ncf
extdata	exact	3851783	/input/HEMCO/RRTMG/v2018-11/modis_surf_albedo.2x25.nc
extdata	fileyear->2014	3189176	/input/HEMCO/CMIP6/v2020-03/2x2.5/CMIP6_GHG_surface_VMR_2014.2x25.nc
extdata	exact	3131548	/input/HEMCO/DMS/v2015-07/DMS_lana.geos.1x1.nc
extdata	exact	3091165	/input/HEMCO/AFCID/v2018-04/PM25FINE_MEIC_2012.generic.025x025.nc
hemco	exact	2690087	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_onroad_mex_0pt1degree_month_07.ncf
hemco	exact	2641015	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_NH3_2005-2100_43190.nc
hemco	exact	2615802	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_NH3_2005-2100_43533.nc
hemco	exact	2611377	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_NH3_2005-2100_27424.nc
extdata	exact	2609595	/input/HEMCO/GFED4/v2023-03/2019/GFED4_3hrfrac_gen.025x025.201907.nc
extdata	exact	2599273	/input/HEMCO/GFED4/v2023-03/2019/GFED4_dailyfrac_gen.025x025.201907.nc
hemco	exact	2550604	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_ethane_2005-2100_43533_kgC.nc
hemco	exact	2546985	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_propane_2005-2100_43533_kgC.nc
hemco	exact	2543359	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_ethane_2005-2100_43190_kgC.nc
hemco	exact	2542659	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_ethane_2005-2100_27424_kgC.nc
hemco	exact	2541672	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_butanes_2005-2100_43533_kgC.nc
hemco	exact	2540051	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_propane_2005-2100_43190_kgC.nc
hemco	exact	2537235	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_propane_2005-2100_27424_kgC.nc
hemco	exact	2536939	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_pentanes_2005-2100_43533_kgC.nc
hemco	exact	2536056	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_butanes_2005-2100_43190_kgC.nc
hemco	exact	2533298	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_butanes_2005-2100_27424_kgC.nc
hemco	exact	2529892	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_pentanes_2005-2100_43190_kgC.nc
hemco	exact	2528005	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_pentanes_2005-2100_27424_kgC.nc
hemco	exact	2523458	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_NH3_2005-2100_23474.nc
hemco	exact	2517615	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_ethane_2005-2100_23474_kgC.nc
hemco	exact	2510500	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_propane_2005-2100_23474_kgC.nc
hemco	exact	2506693	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_butanes_2005-2100_23474_kgC.nc
hemco	exact	2501466	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_pentanes_2005-2100_23474_kgC.nc
extdata	exact	2490983	/input/HEMCO/IODINE/v2020-02/CH3I_monthly_emissions_Ordonez_2012_COARDS.nc
hemco	exact	2423137	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_total_ketones_2005-2100_43533_kgC.nc
hemco	exact	2420761	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_other_aldehydes_2005-2100_43533_kgC.nc
hemco	exact	2418222	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_formaldehyde_2005-2100_43533.nc
hemco	exact	2414866	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_other_aldehydes_2005-2100_43190_kgC.nc
hemco	exact	2412251	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_total_ketones_2005-2100_43190_kgC.nc
hemco	exact	2411653	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_formaldehyde_2005-2100_43190.nc
hemco	exact	2410633	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_other_aldehydes_2005-2100_27424_kgC.nc
hemco	exact	2409697	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_formaldehyde_2005-2100_27424.nc
hemco	exact	2409505	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_total_ketones_2005-2100_27424_kgC.nc
hemco	exact	2383834	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_total_ketones_2005-2100_23474_kgC.nc
hemco	exact	2383499	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_other_aldehydes_2005-2100_23474_kgC.nc
hemco	exact	2381536	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_formaldehyde_2005-2100_23474.nc
hemco	exact	2369361	/input/HEMCO/RCP/v2020-07/RCP_85/RCPs_anthro_total_acids_2005-2100_43533.nc
hemco	exact	2342302	/input/HEMCO/RCP/v2020-07/RCP_45/RCPs_anthro_total_acids_2005-2100_27424.nc
hemco	exact	2328513	/input/HEMCO/RCP/v2020-07/RCP_60/RCPs_anthro_total_acids_2005-2100_43190.nc
hemco	exact	2315286	/input/HEMCO/RCP/v2020-07/RCP_3PD/RCPs_anthro_total_acids_2005-2100_23474.nc
hemco	exact	1972114	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_othptdust_adj_0pt1degree_month_07.ncf
extdata	exact	1836858	/input/HEMCO/DustL23M/v2025-07/roughness/Surf_roughness_min_rocks_1997.nc4
hemco	exact	1811159	/input/HEMCO/NEI2016/v2021-06/2016fh_16j_onroad_ca_adj_0pt1degree_month_07.ncf
extdata	exact	1651265	/input/HEMCO/AnnualScalar/v2014-07/AnnualScalar.geos.1x1.nc
hemco	exact	1445640	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.OC.FFF.0.1x0.1.nc
hemco	exact	1444823	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.BC.FFF.0.1x0.1.nc
hemco	exact	1443841	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.CO.FFF.0.1x0.1.nc
hemco	exact	1442957	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.SO2.FFF.0.1x0.1.nc
hemco	exact	1440780	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.NOx.FFF.0.1x0.1.nc
hemco	exact	1307196	/input/HEMCO/EDGARv42/v2015-02/VOCv2/EDGAR2_1985_FF_IND.1x1geos.nc
extdata	exact	1264618	/input/HEMCO/EDGARv43/v2016-11/EDGAR_v43.Seasonal.1x1.nc
extdata	exact	1062082	/input/HEMCO/EDGARv42/v2015-02/NO/EDGAR_hourly_NOxScal.nc
extdata	exact	985488	/input/HEMCO/MASKS/v2018-09/CONUS_Mask.01x01.nc
extdata	exact	809084	/input/GEOS_0.5x0.625/MERRA2/2015/01/MERRA2.20150101.CN.05x0625.nc4
extdata	exact	804541	/input/HEMCO/AFCID/v2018-04/PM25FINE_IITB_2013.generic.025x025.nc
hemco	exact	801152	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_co2.006.20190702.nc4
hemco	exact	800831	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_co.006.20190702.nc4
hemco	exact	800174	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_oc.006.20190702.nc4
extdata	exact	799938	/input/HEMCO/NH3/v2019-08/NH3_geos.2x25.nc
hemco	exact	799786	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_no.006.20190702.nc4
hemco	exact	799543	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_bc.006.20190702.nc4
hemco	exact	799528	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_nh3.006.20190702.nc4
hemco	exact	799521	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_ch4.006.20190702.nc4
hemco	exact	799423	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_ch2o.006.20190702.nc4
hemco	exact	799207	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_c3h6.006.20190702.nc4
hemco	exact	799189	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_acet.006.20190702.nc4
